Month Lookup,Month,Number of Records,Unique Visits,Year
J,January,1,1288454,1979
F,February,1,1408127,1979
M,March,1,2042466,1979
A,April,1,3139939,1979
M ,May,1,4040182,1979
J ,June,1,6608384,1979
J  ,July,1,8906308,1979
A ,August,1,9433883,1979
S ,September,1,5588802,1979
O,October,1,4316089,1979
N,November,1,2171840,1979
D,December,1,1473646,1979
J,January,1,1419172,1980
F,February,1,1494238,1980
M,March,1,2000173,1980
A,April,1,2847914,1980
M ,May,1,4263471,1980
J ,June,1,6875455,1980
J  ,July,1,9608781,1980
A ,August,1,10014007,1980
S ,September,1,5337649,1980
O,October,1,4371725,1980
N,November,1,2316081,1980
D,December,1,1638158,1980
J,January,1,1601107,1981
F,February,1,1656470,1981
M,March,1,1992070,1981
A,April,1,3081647,1981
M ,May,1,4651699,1981
J ,June,1,7312767,1981
J  ,July,1,10669538,1981
A ,August,1,10468904,1981
S ,September,1,6130733,1981
O,October,1,4310592,1981
N,November,1,2179719,1981
D,December,1,1528804,1981
J,January,1,1399134,1982
F,February,1,1624243,1982
M,March,1,2090592,1982
A,April,1,3087117,1982
M ,May,1,4622777,1982
J ,June,1,7406256,1982
J  ,July,1,11260923,1982
A ,August,1,9877960,1982
S ,September,1,5972173,1982
O,October,1,4677174,1982
N,November,1,2252505,1982
D,December,1,1525679,1982
J,January,1,1588563,1983
F,February,1,1807663,1983
M,March,1,2192907,1983
A,April,1,2837421,1983
M ,May,1,4376690,1983
J ,June,1,7024424,1983
J  ,July,1,11488141,1983
A ,August,1,9755506,1983
S ,September,1,6537404,1983
O,October,1,4877332,1983
N,November,1,2530573,1983
D,December,1,1471365,1983
J,January,1,1707227,1984
F,February,1,1971780,1984
M,March,1,2253064,1984
A,April,1,3213096,1984
M ,May,1,4295258,1984
J ,June,1,7244658,1984
J  ,July,1,10109246,1984
A ,August,1,9695330,1984
S ,September,1,6266591,1984
O,October,1,4381018,1984
N,November,1,2262406,1984
D,December,1,1601142,1984
J,January,1,1653721,1985
F,February,1,1738193,1985
M,March,1,2421876,1985
A,April,1,3413871,1985
M ,May,1,4597586,1985
J ,June,1,7451719,1985
J  ,July,1,10152519,1985
A ,August,1,9853930,1985
S ,September,1,5925412,1985
O,October,1,4582749,1985
N,November,1,2248333,1985
D,December,1,1697481,1985
J,January,1,1883775,1986
F,February,1,1751413,1986
M,March,1,2803376,1986
A,April,1,3474275,1986
M ,May,1,5154468,1986
J ,June,1,7668591,1986
J  ,July,1,10642775,1986
A ,August,1,10879403,1986
S ,September,1,6088166,1986
O,October,1,4868416,1986
N,November,1,2580043,1986
D,December,1,1842999,1986
J,January,1,2000792,1987
F,February,1,1969944,1987
M,March,1,2635674,1987
A,April,1,3703251,1987
M ,May,1,5669223,1987
J ,June,1,8145585,1987
J  ,July,1,10894247,1987
A ,August,1,10938027,1987
S ,September,1,6831081,1987
O,October,1,5612353,1987
N,November,1,2840002,1987
D,December,1,1817231,1987
J,January,1,1883131,1988
F,February,1,2122621,1988
M,March,1,2953523,1988
A,April,1,3604597,1988
M ,May,1,5359067,1988
J ,June,1,8601270,1988
J  ,July,1,11338685,1988
A ,August,1,10784173,1988
S ,September,1,6844366,1988
O,October,1,5267685,1988
N,November,1,2698850,1988
D,December,1,1794065,1988
J,January,1,1951148,1989
F,February,1,1967474,1989
M,March,1,3003959,1989
A,April,1,3746282,1989
M ,May,1,5743880,1989
J ,June,1,8500034,1989
J  ,July,1,11203199,1989
A ,August,1,10886059,1989
S ,September,1,7101987,1989
O,October,1,5417577,1989
N,November,1,2868765,1989
D,December,1,1736807,1989
J,January,1,1877514,1990
F,February,1,1986721,1990
M,March,1,2833932,1990
A,April,1,3813079,1990
M ,May,1,5142234,1990
J ,June,1,8130595,1990
J  ,July,1,11016791,1990
A ,August,1,10574830,1990
S ,September,1,6975275,1990
O,October,1,4557933,1990
N,November,1,2678457,1990
D,December,1,1724831,1990
J,January,1,1853733,1991
F,February,1,2203873,1991
M,March,1,2727322,1991
A,April,1,3579498,1991
M ,May,1,5514748,1991
J ,June,1,8202345,1991
J  ,July,1,11767778,1991
A ,August,1,11592522,1991
S ,September,1,7305825,1991
O,October,1,5506249,1991
N,November,1,2560272,1991
D,December,1,2049176,1991
J,January,1,2169793,1992
F,February,1,2298694,1992
M,March,1,2989591,1992
A,April,1,4212320,1992
M ,May,1,5952839,1992
J ,June,1,8667947,1992
J  ,July,1,11473187,1992
A ,August,1,11266818,1992
S ,September,1,7227764,1992
O,October,1,5538967,1992
N,November,1,2540796,1992
D,December,1,2017299,1992
J,January,1,2090120,1993
F,February,1,2288208,1993
M,March,1,2998990,1993
A,April,1,4186170,1993
M ,May,1,5823785,1993
J ,June,1,8637138,1993
J  ,July,1,12035477,1993
A ,August,1,11902367,1993
S ,September,1,7821349,1993
O,October,1,5877967,1993
N,November,1,2703202,1993
D,December,1,2168960,1993
J,January,1,2110481,1994
F,February,1,2329551,1994
M,March,1,3289675,1994
A,April,1,4022791,1994
M ,May,1,5694537,1994
J ,June,1,8733623,1994
J  ,July,1,12303415,1994
A ,August,1,12220238,1994
S ,September,1,7886073,1994
O,October,1,5845213,1994
N,November,1,2856523,1994
D,December,1,2278846,1994
J,January,1,2232104,1995
F,February,1,2530428,1995
M,March,1,3384112,1995
